beds,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
1,True,1,4,15845314,29.750208853322718,5396686,-95.35526690564983,1,115,86,Entire home/apt,5.0
2,False,2,4,24369562,29.78411295107411,10359833,-95.40269415044742,1,109,11,Entire home/apt,5.0
2,False,3,4,22625933,29.768423338340728,4358898,-95.35293992305023,1,155,97,Entire home/apt,5.0
2,True,4,4,499201,29.79082643983669,2414344,-95.3705671461471,1,97,132,Entire home/apt,5.0
2,False,5,4,15213490,29.752134336464987,7368754,-95.35347489202579,1,115,58,Entire home/apt,5.0
6,False,6,4,12679801,29.719141993370275,9758849,-95.37655237337589,1,350,13,Entire home/apt,5.0
8,True,7,4,9131137,29.770576593638808,5945476,-95.41851346518119,1,295,63,Entire home/apt,5.0
4,False,8,4,22623861,29.751712290997084,6912011,-95.36852571595736,1,218,55,Entire home/apt,5.0
2,False,9,4,16533520,29.735942255987986,12543212,-95.41466041853599,1,118,8,Entire home/apt,5.0
1,True,10,4,56629688,29.729854130139746,12064538,-95.32380765000424,1,50,10,Entire home/apt,4.5
2,False,11,4,26168561,29.698604867496684,5067703,-95.4180641918868,1,90,18,Entire home/apt,4.5
2,False,12,4,51378565,29.69467040864321,10001316,-95.3953456891167,1,100,23,Entire home/apt,5.0
2,True,13,4,41856688,29.749986639986812,7937438,-95.35354040795471,1,137,66,Entire home/apt,5.0
2,True,14,4,55456883,29.790720583090234,11100710,-95.40556055269096,1,95,43,Entire home/apt,5.0
6,True,15,4,63133513,29.723731233049648,12097450,-95.37377694764585,1,185,14,Entire home/apt,5.0
2,True,16,4,18637526,29.810081539300842,12730174,-95.37077910913523,1,44,10,Entire home/apt,5.0
2,True,17,4,11064031,29.78770560919218,8808894,-95.4052107795491,1,110,44,Entire home/apt,5.0
2,False,18,4,74013720,29.689919643946144,13207307,-95.39331005186467,1,90,1,Entire home/apt,0.0
2,False,1,4,74013720,29.689919643946144,13207307,-95.39331005186467,2,90,1,Entire home/apt,0.0
2,False,2,4,7795460,29.805207446218983,8054187,-95.40328642998202,2,119,33,Entire home/apt,5.0
2,False,3,4,22924046,29.74466440467184,5250771,-95.4039690558919,2,129,64,Entire home/apt,5.0
2,False,4,4,16533520,29.735942255987986,12543212,-95.41466041853599,2,118,8,Entire home/apt,5.0
2,False,5,4,15213490,29.752134336464987,7368754,-95.35347489202579,2,115,58,Entire home/apt,5.0
3,False,6,4,11290387,29.77746611650514,6131689,-95.3919089893962,2,139,12,Entire home/apt,4.5
2,False,7,4,38513394,29.739344685158155,7357533,-95.37119582070079,2,135,33,Entire home/apt,5.0
3,False,8,4,246072,29.73891735664455,12814768,-95.37100140424049,2,95,3,Entire home/apt,5.0
4,False,9,4,22623861,29.751712290997084,6912011,-95.36852571595736,2,218,55,Entire home/apt,5.0
2,False,10,4,33404737,29.77435593353722,6490075,-95.39365403818589,2,130,36,Entire home/apt,4.5
1,True,11,4,8369519,29.70026585493419,8822609,-95.42060442627049,2,109,37,Entire home/apt,5.0
2,True,12,4,11064031,29.78770560919218,8808894,-95.4052107795491,2,110,44,Entire home/apt,5.0
2,True,13,4,51562417,29.950259430264285,13050776,-95.54668311538944,2,99,0,Entire home/apt,0.0
1,False,14,4,16575058,29.781548557246232,6866186,-95.39594277231159,2,129,53,Entire home/apt,5.0
2,False,15,4,3905103,29.696874764334815,6671751,-95.41052162955214,2,96,26,Entire home/apt,5.0
3,False,16,4,2382115,29.740218919274085,13139524,-95.37332631681333,2,259,3,Entire home/apt,4.5
3,True,17,4,811726,29.755904008700554,8385635,-95.39745100097907,2,99,0,Entire home/apt,0.0
2,True,18,4,18637526,29.810081539300842,12730174,-95.37077910913523,2,44,10,Entire home/apt,5.0
3,False,1,4,52300223,29.74122621313467,11281978,-95.46338236658812,3,150,3,Entire home/apt,5.0
2,False,2,4,13320614,29.739026757383012,11253885,-95.44648473194017,3,93,23,Entire home/apt,5.0
1,False,3,4,6133892,29.70356418222423,13559315,-95.42284612755616,3,50,1,Entire home/apt,0.0
2,False,4,4,23207155,29.73422718849799,10521573,-95.40813496008856,3,109,28,Entire home/apt,5.0
2,False,5,4,46645872,29.80048023845857,12085903,-95.39645264302396,3,115,6,Entire home/apt,5.0
4,False,6,4,59849996,29.744533300236768,11422518,-95.45084800185252,3,375,15,Entire home/apt,4.5
5,False,7,4,3672127,29.792919877579685,1033590,-95.37916828702124,3,175,25,Entire home/apt,5.0
2,False,8,4,40419652,29.753631123140202,12762354,-95.3907916463213,3,130,5,Entire home/apt,5.0
2,False,9,4,10212886,29.74854203954275,10982085,-95.46112299914103,3,119,12,Entire home/apt,5.0
2,False,10,4,29226925,29.728203880472183,10996936,-95.44031219547155,3,94,9,Entire home/apt,5.0
1,True,11,4,56629688,29.729854130139746,12064538,-95.32380765000424,3,50,10,Entire home/apt,4.5
2,True,12,4,22122892,29.705059109347577,12474898,-95.37045426904243,3,75,11,Entire home/apt,5.0
1,False,13,4,73688158,29.678768804608058,13203164,-95.39610964147936,3,84,2,Entire home/apt,0.0
